"ID","Date","Miles","Litres","Price Ltr","Vehicle"
1,"01/12/1998 00:00:00",1.0910900000000000e+05,3.8250000000000000e+01,,"Maestro Van"
2,"27/01/1998 00:00:00",1.0955100000000000e+05,4.1170000000000002e+01,,"Maestro Van"
3,"13/02/1998 00:00:00",1.1028000000000000e+05,4.3210000000000001e+01,,"Maestro Van"
4,"03/02/1998 00:00:00",1.1043700000000000e+05,3.8149999999999999e+01,,"Maestro Van"
5,"16/03/1998 00:00:00",1.1083800000000000e+05,3.8920000000000002e+01,,"Maestro Van"
6,"28/03/1998 00:00:00",1.1118800000000000e+05,2.5160000000000000e+01,,"Maestro Van"
7,"09/04/1998 00:00:00",1.1153700000000000e+05,3.7910000000000004e+01,,"Maestro Van"
8,"01/05/1998 00:00:00",1.1202700000000000e+05,4.6520000000000003e+01,,"Maestro Van"
9,"16/05/1998 00:00:00",1.1246700000000000e+05,3.9050000000000004e+01,,"Maestro Van"
10,"05/06/1998 00:00:00",1.1289500000000000e+05,3.9759999999999998e+01,,"Maestro Van"
11,"14/06/1998 00:00:00",1.1313300000000000e+05,2.3160000000000000e+01,,"Maestro Van"
12,"03/07/1998 00:00:00",1.1366100000000000e+05,4.6450000000000003e+01,,"Maestro Van"
13,"11/07/1998 00:00:00",1.1409800000000000e+05,3.9000000000000000e+01,,"Maestro Van"
14,"06/08/1998 00:00:00",1.1456900000000000e+05,4.3550000000000004e+01,,"Maestro Van"
15,"28/08/1998 00:00:00",1.1502400000000000e+05,4.1240000000000002e+01,,"Maestro Van"
16,"11/09/1998 00:00:00",1.1541500000000000e+05,3.6810000000000002e+01,,"Maestro Van"
17,"26/09/1998 00:00:00",1.1587700000000000e+05,4.3750000000000000e+01,,"Maestro Van"
18,"13/10/1998 00:00:00",1.1632300000000000e+05,4.3399999999999999e+01,,"Maestro Van"
19,"27/10/1998 00:00:00",1.1672700000000000e+05,4.0560000000000002e+01,,"Maestro Van"
20,"10/11/1998 00:00:00",1.1716800000000000e+05,4.2410000000000004e+01,,"Maestro Van"
21,"23/11/1998 00:00:00",1.1761000000000000e+05,4.5899999999999999e+01,,"Maestro Van"
22,"08/12/1998 00:00:00",1.1803400000000000e+05,4.3140000000000001e+01,,"Maestro Van"
23,"29/12/1998 00:00:00",1.1847600000000000e+05,4.3140000000000001e+01,,"Maestro Van"
24,"14/01/1999 00:00:00",1.1886300000000000e+05,4.0009999999999998e+01,,"Maestro Van"
25,"02/02/1999 00:00:00",1.1926600000000000e+05,4.0009999999999998e+01,,"Maestro Van"
26,"16/02/1999 00:00:00",1.1970500000000000e+05,4.3329999999999998e+01,,"Maestro Van"
27,"03/03/1999 00:00:00",1.2013700000000000e+05,4.4680000000000000e+01,,"Maestro Van"
28,"18/03/1999 00:00:00",1.2051500000000000e+05,3.6670000000000002e+01,0.7090,"Maestro Van"
29,"01/04/1999 00:00:00",1.2095600000000000e+05,4.3079999999999998e+01,0.7090,"Maestro Van"
30,"20/04/1999 00:00:00",1.2133400000000000e+05,3.9820000000000000e+01,0.7190,"Maestro Van"
31,"06/05/1999 00:00:00",1.2180600000000000e+05,4.6490000000000002e+01,0.7190,"Maestro Van"
32,"21/05/1999 00:00:00",1.2223200000000000e+05,4.0050000000000004e+01,0.7190,"Maestro Van"
33,"10/06/1999 00:00:00",1.2269000000000000e+05,4.4109999999999999e+01,0.7290,"Maestro Van"
34,"28/06/1999 00:00:00",1.2312000000000000e+05,4.1109999999999999e+01,0.7290,"Maestro Van"
35,"15/07/1999 00:00:00",1.2363200000000000e+05,4.6609999999999999e+01,0.7390,"Maestro Van"
36,"03/08/1999 00:00:00",1.2408400000000000e+05,4.1829999999999998e+01,0.7390,"Maestro Van"
37,"03/09/1999 00:00:00",1.2457200000000000e+05,4.5539999999999999e+01,0.7490,"Maestro Van"
38,"17/09/1999 00:00:00",1.2497800000000000e+05,3.7810000000000002e+01,0.7590,"Maestro Van"
39,"01/10/1999 00:00:00",1.2540200000000000e+05,3.9539999999999999e+01,0.7590,"Maestro Van"
40,"17/10/1999 00:00:00",1.2590300000000000e+05,4.6119999999999997e+01,0.7590,"Maestro Van"
41,"03/11/1999 00:00:00",1.2632000000000000e+05,4.0920000000000002e+01,0.7590,"Maestro Van"
42,"13/11/1999 00:00:00",1.2660800000000000e+05,2.9640000000000001e+01,0.7350,"Maestro Van"
43,"22/11/1999 00:00:00",1.2691700000000000e+05,3.0140000000000001e+01,0.7450,"Maestro Van"
44,"13/12/1999 00:00:00",1.2740100000000000e+05,4.5920000000000002e+01,0.7790,"Maestro Van"
45,"24/12/1999 00:00:00",1.2772100000000000e+05,3.1699999999999999e+01,0.7790,"Maestro Van"
