"Vehicle","Type Of Service","Materials","Oil","Diesel Filter","Air Filter","Miles","Date","Cost"
"Audi","General","Tyre changed rear right edge worn away suspect had been used on front. Tracking checked",0,0,0,34934,"05/04/2007 00:00:00",80.0000
"MicraS","General","Air Filter Change",0,0,1,23800,"21/12/2014 00:00:00",6.5000
"MicraA","General","Nissan Oil from Dads",1,0,1,42113,"21/09/2014 00:00:00",15.5000
"MicraA","Routine","Cambelt kit from Nissan Scunthorpe",0,0,0,45560,"04/04/2015 00:00:00",130.0000
"Audi","Routine","Front flexible brake hoses changed new fluid pumped through DOT 4.",1,0,1,96570,"07/07/2015 00:00:00",72.5000
"MicraA","Breakdown","Front Brake Discs & Pads badly corroded",0,0,0,0,"12/07/2015 00:00:00",47.5000
"MicraA","Routine","Oil From Dads",1,0,1,51153,"13/09/2015 00:00:00",0.0000
"Skoda","Breakdown","Front brakes sticking new discs & pads A.E.Cooks",0,0,0,53583,"11/09/2015 00:00:00",66.5000
"MicraS","Routine","Oil Change",1,0,1,27404,"23/12/2015 00:00:00",0.0000
"MicraS","Routine","Oil Change",1,0,0,25407,"24/12/2015 00:00:00",27.0000
"MicraS","General","Oil & Filter",1,0,1,34764,"29/10/2016 00:00:00",48.0000
"Audi","General","Oil & Filters",1,0,1,103276,"29/04/2016 00:00:00",0.0000
"MicraS","Routine","Cambelt",0,0,0,29750,"29/02/2016 00:00:00",0.0000
"MicraA","General","Oil 5 lts AE Cook",1,0,1,71804,"04/12/2016 00:00:00",41.0000
"Skoda","Routine","Service of vehicle",1,0,1,62062,"17/04/2017 00:00:00",68.5000
"MicraS","Routine","Oil from Dad brake calipers cleaned pads OK.",1,0,1,47011,"19/07/2017 00:00:00",0.0000
"Skoda","Routine","Sucked out Oil Change",1,0,0,56371,"23/01/2016 00:00:00",0.0000
"Peugeot","General","2 Front tyres fitted Bridgestone from Kingsway tyres immingham Invoice No IC006300",0,0,0,85826,"22/04/2003 00:00:00",94.0000
"Peugeot","Breakdown","Heater Matrix replaced",0,0,0,87450,"11/07/2003 00:00:00",70.2200
"Escort 55D","Routine","Diesel Additive in first tank 2Gall Waxoyl",1,0,1,47817,"22/11/2003 00:00:00",14.0400
"Peugeot","Routine","Oil Changr",1,0,0,90885,"09/12/2003 00:00:00",4.5500
"Peugeot","Breakdown","2 Front Brake Hoses",0,0,0,0,"13/04/2004 00:00:00",0.0000
"Escort 55D","General","2 front tyres",0,0,0,55900,"07/10/2004 00:00:00",48.6400
"Peugeot","Routine","Oil Filter",1,0,0,96200,"27/09/2004 00:00:00",5.2500
"Maestro Van","General","RHS front tyre changed",0,0,0,125350,"29/09/1999 00:00:00",
"Peugeot","Routine","Diesel filter changed, brake fluid checked, battery OK, Lubricated door bottoms",1,1,0,10800,"02/07/1994 00:00:00",
"Peugeot","Routine",,1,0,0,13751,"25/09/1994 00:00:00",
"Peugeot","General","Brakes checked, automatic adjusters lubricated plenty left on pads, tyres changed around, new wiper blades fitted",0,0,0,16895,"21/01/1995 00:00:00",
"Peugeot","Routine","Power steering checked & brake fluid",1,0,0,17457,"11/02/1995 00:00:00",
"Peugeot","Routine",,1,0,0,21750,"10/06/1995 00:00:00",
"Peugeot","Routine",,1,1,1,24950,"17/10/1995 00:00:00",
"Peugeot","Routine","Wheels changed around",1,0,0,27347,"26/11/1995 00:00:00",
"Peugeot","Breakdown","Water leak on thermostat houseing new Antifreeze",0,0,0,0,"17/12/1995 00:00:00",
"Peugeot","Routine","Waxoyl underbody, Thermostat resealed again new O rings",1,0,0,30127,"16/03/1996 00:00:00",
"Peugeot","Breakdown","Water system pressurizing cylinder head gasket blown. Cylinder head taken to Service engineering, pressure tested OK surface grind of cylinder head to remove faint mark.",0,0,0,30971,"13/04/1996 00:00:00",
"Peugeot","Breakdown","Valves ground in No 3 piston cleaned New manifold gasket, Head gasket,Head bolts,fuel filter & cam Belt",1,1,0,30971,"22/04/1996 00:00:00",
"Peugeot","General","New water pump fitted Filled up with ethylen antifreeze",0,0,0,30971,"27/04/1996 00:00:00",
"Peugeot","Routine",,1,0,0,33207,"29/06/1996 00:00:00",
"Peugeot","Routine",,1,0,0,36421,"06/10/1996 00:00:00",
"Peugeot","Breakdown","New reverseing light switch",0,0,0,0,"02/11/1996 00:00:00",
"Peugeot","Routine","Tail lamp, doors oiled",1,1,1,39538,"22/02/1997 00:00:00",
"Peugeot","Breakdown","Acciddent at Glebe Road, LHS rear door replaced, LHS reat Quarter, lHS front door skin, LHS rear wheel & trim Insurance Claim
Bonnent resprayed for bird dropping damage RHS sill recovered to match left LHS front wheel trim cost to Me of £128",0,0,0,40150,"21/03/1997 00:00:00",
"Peugeot","Routine","Mot evey thing OK",0,0,0,40192,"19/04/1997 00:00:00",
"Peugeot","Routine","Checked rear brake pads OK",1,0,0,42130,"23/06/1997 00:00:00",
"Peugeot","Routine","New wiper blades",1,0,0,45231,"26/09/1997 00:00:00",
"Peugeot","General","3 Lts of 505 antifreeze changed",0,0,0,46667,"03/11/1997 00:00:00",
"Peugeot","General","3 tyres F&T  2 front 1 rear LHS",0,0,0,47012,"12/12/1997 00:00:00",
"Peugeot","General",,1,0,0,48217,"08/02/1998 00:00:00",
"Peugeot","Routine",,1,0,0,51271,"06/06/1998 00:00:00",
"Peugeot","Routine",,0,0,1,54276,"07/08/1998 00:00:00",
"Peugeot","General","Body waxoyled",1,0,0,54276,"12/09/1998 00:00:00",
"Peugeot","Routine",,1,0,0,57316,"21/02/1999 00:00:00",
"Peugeot","Routine",,1,0,0,59795,"25/06/1999 00:00:00",
"Peugeot","Breakdown","Back exhaust box changed",0,0,0,60105,"08/07/1999 00:00:00",
"Peugeot","General","Rear flexible brake hoses changed, body waxoyled",0,0,0,61950,"05/09/1999 00:00:00",
"Peugeot","General","Cooling system drained mixture of 50% antifreeze added.
Front brake pads changed
Fuel filter changed
Wheel trims fixed",0,1,0,62791,"27/10/1999 00:00:00",
"Maestro Van","Routine","LHS front outer C/V boot
Started on repairs to door bottom",0,1,1,126190,"26/10/1999 00:00:00",
"Peugeot 205","Routine","2 glow plugs Nos 3&4",0,0,0,87000,"22/11/1999 00:00:00",
"Maestro Van","Breakdown","Rear LHS wheel cylinder changed",0,1,1,125320,"05/11/1999 00:00:00",
"Maestro Van","Routine","Oil change, New wiper blades",1,0,0,126610,"20/11/1999 00:00:00",
"Peugeot","Breakdown","Interior heater changed topped up with 50% anti freeze mix",0,0,0,63933,"04/01/2000 00:00:00",
"Peugeot","General","Cam Belt changed, crankshaft oil seal replaced. Auxillary drive belt replaced.",1,0,0,63940,"05/01/2000 00:00:00",
"Peugeot","Routine",,1,0,1,65912,"20/04/2000 00:00:00",
"Peugeot","Breakdown","Water system pressurizeing head gasket blown bewteen 1 & 2 cylinders. Head surface ground water mark removed. Genuine parts purchased from Crystals fitted. Filled up with 50% antifreeze mixture water system bleed for air.",0,0,0,65970,"27/04/2000 00:00:00",
"Peugeot","Routine","MOT test every thing Ok requires two front tyres soon.",0,0,0,66066,"03/05/2000 00:00:00",
"Peugeot","Routine","2 front tyres £64.78",0,0,0,66460,"21/05/2000 00:00:00",
"Peugeot 205","Breakdown","Clutch cable broke changed. Oil change",1,0,0,92560,"03/05/2000 00:00:00",
"Peugeot","Routine","Changed at Wrawby",1,0,0,67751,"10/08/2000 00:00:00",
"Maestro Van","Breakdown","LHS rear wheel brake binding freed off & lubricated",0,0,0,134152,"06/09/2000 00:00:00",
"Maestro Van","Breakdown","Oil leak at front new crankshaft oil seal fitted genuine. Cambelt replaced genuine total parts £38.01",1,0,0,134790,"01/10/2000 00:00:00",38.0100
"Maestro Van","General","2.5 Lts anti freeze,battery from Cooks £33.99 Reciet No 463372, oil filter changed 1.83",1,0,0,135139,"22/10/2000 00:00:00",46.5800
"Maestro Van","Routine","1 Tyre Rear RHS",0,0,0,135640,"12/11/2000 00:00:00",15.0000
"Maestro Van","Breakdown","Exhaust Front pipe changed puncture in rear right exhaust reciet no 473254",0,0,0,136055,"19/11/2000 00:00:00",33.8200
"Maestro Van","Breakdown","LHS trackrod End Worn, RHS CV boot replaced Gearbox topped up with oil MOT passed A.E Cook Reciet No 478277",0,0,0,136481,"02/12/2000 00:00:00",12.8400
"Peugeot","Routine","Oil Filter",1,0,0,71127,"11/02/2001 00:00:00",2.0000
"Maestro Van","Breakdown","LHS wheel hub nut loose smasshed hub second hand hub obtained new wheel bearing fitted",0,0,0,139450,"10/04/2001 00:00:00",47.0000
"Peugeot","Routine","MotBrake cables renewed, front number plate, LHS front Cv boot, gearbox oil changed parts cost 32.40",0,0,0,72191,"23/04/2001 00:00:00",32.4000
"Maestro Van","Breakdown","2 Tyres At front retracked with laser",0,0,0,140627,"11/06/2001 00:00:00",64.0000
"Maestro Van","Routine","Exhaust rear box & pipe. A.E.Cook cash sale invoice 578708. Bosal pt no BOS282689",0,0,0,142392,"12/08/2001 00:00:00",27.4000
