"ID","Date","Miles","Litres","Price Ltr","Vehicle"
76,"22/12/2012 00:00:00",3.3910000000000000e+04,3.6810000000000002e+01,1.3790,"Skoda"
77,"03/01/2013 00:00:00",3.4345000000000000e+04,3.7159999999999997e+01,1.3790,"Skoda"
78,"13/02/2013 00:00:00",3.5164000000000000e+04,7.0000000000000000e+01,1.4290,"Skoda"
79,"02/04/2013 00:00:00",3.6038000000000000e+04,7.6739999999999995e+01,1.4190,"Skoda"
80,"29/04/2013 00:00:00",3.6511000000000000e+04,3.8140000000000001e+01,1.3790,"Skoda"
82,"17/05/2013 00:00:00",3.6880000000000000e+04,2.9379999999999999e+01,1.3470,"Skoda"
83,"04/06/2013 00:00:00",3.7349000000000000e+04,3.5990000000000002e+01,1.3790,"Skoda"
84,"12/06/2013 00:00:00",3.7807000000000000e+04,3.3850000000000001e+01,1.3790,"Skoda"
87,"09/08/2013 00:00:00",3.8934000000000000e+04,2.4840000000000000e+01,1.3690,"Skoda"
88,"13/10/2013 00:00:00",3.9323000000000000e+04,3.3479999999999997e+01,1.4090,"Skoda"
89,"23/09/2013 00:00:00",3.9819000000000000e+04,3.9570000000000000e+01,1.4090,"Skoda"
90,"27/11/2013 00:00:00",4.1108000000000000e+04,1.0580000000000000e+02,1.3590,"Skoda"
91,"22/12/2013 00:00:00",4.1524000000000000e+04,3.4560000000000002e+01,1.3590,"Skoda"
85,"30/06/2013 00:00:00",3.8224000000000000e+04,3.4500000000000000e+01,1.3490,"Skoda"
86,"26/07/2013 00:00:00",3.8598000000000000e+04,2.8370000000000001e+01,1.3690,"Skoda"
1,"27/08/2009 00:00:00",2.5130000000000000e+03,1.7000000000000000e+01,1.0290,"Skoda"
2,"01/09/2009 00:00:00",2.6610000000000000e+03,1.2670000000000000e+01,1.0290,"Skoda"
3,"23/09/2009 00:00:00",2.8710000000000000e+03,1.7760000000000002e+01,1.0390,"Skoda"
4,"11/10/2009 00:00:00",3.0480000000000000e+03,1.4660000000000000e+01,1.0390,"Skoda"
5,"11/11/2009 00:00:00",3.5360000000000000e+03,3.4570000000000000e+01,1.0790,"Skoda"
6,"23/11/2009 00:00:00",3.9010000000000000e+03,2.8609999999999999e+01,1.0890,"Skoda"
7,"04/12/2009 00:00:00",4.3210000000000000e+03,3.4520000000000003e+01,1.0890,"Skoda"
8,"22/12/2009 00:00:00",4.7230000000000000e+03,3.3649999999999999e+01,1.0790,"Skoda"
9,"11/01/2010 00:00:00",5.0360000000000000e+03,2.5550000000000001e+01,1.0990,"Skoda"
10,"23/01/2010 00:00:00",5.3510000000000000e+03,2.5510000000000002e+01,1.1090,"Skoda"
11,"05/02/2010 00:00:00",5.8050000000000000e+03,3.6039999999999999e+01,1.1290,"Skoda"
12,"22/02/2010 00:00:00",6.2130000000000000e+03,3.3259999999999998e+01,1.1190,"Skoda"
13,"10/03/2010 00:00:00",6.6310000000000000e+03,3.3320000000000000e+01,1.1390,"Skoda"
14,"01/04/2010 00:00:00",7.1230000000000000e+03,3.8649999999999999e+01,1.1590,"Skoda"
15,"14/04/2010 00:00:00",7.5410000000000000e+03,3.1710000000000001e+01,1.1990,"Skoda"
16,"25/04/2010 00:00:00",8.0310000000000000e+03,3.7409999999999997e+01,1.2090,"Skoda"
17,"09/05/2010 00:00:00",8.5130000000000000e+03,3.6210000000000001e+01,1.2090,"Skoda"
18,"25/05/2010 00:00:00",9.0080000000000000e+03,3.7740000000000002e+01,1.1990,"Skoda"
19,"13/06/2010 00:00:00",9.4740000000000000e+03,3.6100000000000001e+01,1.1690,"Skoda"
20,"02/07/2010 00:00:00",1.0026000000000000e+04,4.1570000000000000e+01,1.1790,"Skoda"
21,"14/07/2010 00:00:00",1.0440000000000000e+04,3.2340000000000003e+01,1.1690,"Skoda"
